words,images,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,slider_valence.response,slider_arousal.response,slider_arousal.rt,group,participant,session,date,expName,psychopyVersion,frameRate,
afraid,None,0,0,0,1,25.0,52.0,1.1570174785738345,A,,001,2019_Jun_20_2031,SAM,3.0.6,60.12038781714428,
None,Pictures/1051.jpg,0,1,1,14,25.0,73.0,1.077816929871915,A,,001,2019_Jun_20_2031,SAM,3.0.6,60.12038781714428,
table,None,0,2,2,7,41.0,50.0,1.112526097236696,A,,001,2019_Jun_20_2031,SAM,3.0.6,60.12038781714428,
statue,None,0,3,3,3,27.0,50.0,1.4265161421135417,A,,001,2019_Jun_20_2031,SAM,3.0.6,60.12038781714428,
birthday,None,0,4,4,4,65.0,79.0,0.6034368154905678,A,,001,2019_Jun_20_2031,SAM,3.0.6,60.12038781714428,
coward,None,0,5,5,5,64.0,48.0,0.41190778355303337,A,,001,2019_Jun_20_2031,SAM,3.0.6,60.12038781714428,
None,Pictures/1050.jpg,0,6,6,13,35.0,27.0,0.5663267663003353,A,,001,2019_Jun_20_2031,SAM,3.0.6,60.12038781714428,
None,Pictures/1040.jpg,0,7,7,12,23.0,16.0,0.46062508902468835,A,,001,2019_Jun_20_2031,SAM,3.0.6,60.12038781714428,
dollar,None,0,8,8,10,42.0,54.0,0.5093597177983611,A,,001,2019_Jun_20_2031,SAM,3.0.6,60.12038781714428,
bunny,None,0,9,9,0,65.0,77.0,0.4086218091433693,A,,001,2019_Jun_20_2031,SAM,3.0.6,60.12038781714428,
startled,None,0,10,10,2,42.0,None,None,A,,001,2019_Jun_20_2031,SAM,3.0.6,60.12038781714428,
cozy,None,0,11,11,6,None,None,None,A,,001,2019_Jun_20_2031,SAM,3.0.6,60.12038781714428,
None,Pictures/1080.jpg,0,12,12,17,None,None,None,A,,001,2019_Jun_20_2031,SAM,3.0.6,60.12038781714428,
impair,None,0,13,13,11,None,None,None,A,,001,2019_Jun_20_2031,SAM,3.0.6,60.12038781714428,
python,None,0,14,14,9,None,None,None,A,,001,2019_Jun_20_2031,SAM,3.0.6,60.12038781714428,
None,Pictures/1070.jpg,0,15,15,16,None,None,None,A,,001,2019_Jun_20_2031,SAM,3.0.6,60.12038781714428,
,,,,,,None,,,,,,,,,,
